,domain,planner,count,total_count,coverage
0,acrobatics,asp2-reg-4h,4,8,50.0
1,acrobatics,asp2-reg-kb-4h,4,8,50.0
2,acrobatics,asp2-reg-undo-4h,4,8,50.0
3,blocksworld,asp2-reg-undo-4h,10,70,14.29
4,doors,asp1-reg-4h,14,15,93.33
5,doors,asp2-reg-4h,15,15,100.0
6,elevators,asp1-reg-4h,7,15,46.67
7,elevators,asp2-reg-4h,7,15,46.67
8,elevators,asp2-reg-undo-4h,7,15,46.67
9,first-responders-ipc08,asp1-reg-4h,11,73,15.07
10,first-responders-ipc08,asp2-reg-4h,11,73,15.07
11,first-responders-ipc08,asp2-reg-undo-4h,11,73,15.07
12,islands,asp1-reg-4h,60,60,100.0
13,islands,asp2-reg-4h,60,60,100.0
14,islands,asp2-reg-undo-4h,60,60,100.0
15,miner,asp1-reg-4h,50,50,100.0
16,miner,asp2-reg-4h,50,50,100.0
17,miner,asp2-reg-kb-4h,49,50,98.0
18,miner,asp2-reg-undo-4h,49,50,98.0
19,spiky-tireworld,asp1-reg-4h,9,11,81.82
20,spiky-tireworld,asp2-reg-4h,9,11,81.82
21,spiky-tireworld,asp2-reg-kb-4h,11,11,100.0
22,spiky-tireworld,asp2-reg-undo-4h,11,11,100.0
23,tireworld-truck,asp1-reg-4h,74,74,100.0
24,tireworld-truck,asp2-reg-4h,74,74,100.0
25,tireworld-truck,asp2-reg-undo-4h,74,74,100.0
26,triangle-tireworld,asp2-reg-kb-4h,5,40,12.5
