task,run,status,solved,cputime,walltime,memory_mb,planner_time,policy_size,domain,instance,solver
miner_01.yml,cfondasp-fsat.MINER-SMALL,1,True,10.221408,9.274593042908236,239.194112,6.419275906169787,18,miner,01,ASP-fsat
miner_02.yml,cfondasp-fsat.MINER-SMALL,1,True,8.672183,8.143851132830605,237.326336,5.244446845958009,15,miner,02,ASP-fsat
miner_03.yml,cfondasp-fsat.MINER-SMALL,1,True,9.991114,9.451394844101742,267.620352,6.565094834892079,14,miner,03,ASP-fsat
miner_04.yml,cfondasp-fsat.MINER-SMALL,1,True,29.91128,26.53247501584701,482.852864,23.646294450154528,17,miner,04,ASP-fsat
miner_05.yml,cfondasp-fsat.MINER-SMALL,1,True,34.188173,29.19123414508067,439.996416,26.374557395931333,19,miner,05,ASP-fsat
miner_06.yml,cfondasp-fsat.MINER-SMALL,1,True,36.875697,31.872170517919585,539.783168,29.065800560172647,18,miner,06,ASP-fsat
miner_07.yml,cfondasp-fsat.MINER-SMALL,1,True,67.825356,56.313294450053945,704.856064,53.41586528881453,20,miner,07,ASP-fsat
miner_08.yml,cfondasp-fsat.MINER-SMALL,1,True,43.55744,38.23351015895605,628.289536,35.44439658895135,18,miner,08,ASP-fsat
miner_09.yml,cfondasp-fsat.MINER-SMALL,1,True,58.068282,49.6507383720018,730.161152,47.69645533408038,19,miner,09,ASP-fsat
miner_01.yml,cfondasp-reg.MINER-SMALL,1,True,8.785078,6.861987449927256,193.794048,4.684581509092823,18,miner,01,ASP-reg
miner_02.yml,cfondasp-reg.MINER-SMALL,1,True,6.938158,5.690732590155676,195.145728,3.656179087935016,15,miner,02,ASP-reg
miner_03.yml,cfondasp-reg.MINER-SMALL,1,True,8.25973,6.809772311011329,214.810624,4.697184097953141,14,miner,03,ASP-reg
miner_04.yml,cfondasp-reg.MINER-SMALL,1,True,27.612465,20.98130572307855,353.783808,18.787553992820904,17,miner,04,ASP-reg
miner_05.yml,cfondasp-reg.MINER-SMALL,1,True,37.279139,25.542372280033305,316.735488,23.37803299794905,19,miner,05,ASP-reg
miner_06.yml,cfondasp-reg.MINER-SMALL,1,True,35.831141,25.932546369964257,391.200768,23.824063499923795,18,miner,06,ASP-reg
miner_07.yml,cfondasp-reg.MINER-SMALL,1,True,90.4352,57.821888317819685,492.613632,55.58649308397435,20,miner,07,ASP-reg
miner_08.yml,cfondasp-reg.MINER-SMALL,1,True,49.302047,34.59440812794492,446.431232,32.48699447303079,18,miner,08,ASP-reg
miner_09.yml,cfondasp-reg.MINER-SMALL,1,True,60.877285,43.236422355053946,512.65536,41.27761461003684,19,miner,09,ASP-reg
