domain,cov_cfondasp1-reg,cov_fondsat-glucose,cov_fondsat-minisat,cov_paladinus,cov_prp,time_cfondasp1-reg,time_fondsat-glucose,time_fondsat-minisat,time_paladinus,time_prp,mem_cfondasp1-reg,mem_fondsat-glucose,mem_fondsat-minisat,mem_paladinus,mem_prp,size_cfondasp1-reg,size_fondsat-glucose,size_fondsat-minisat,size_paladinus,size_prp
acrobatics,0.5,0.38,0.5,1.0,1.0,689.0,7.89,178.67,11.18,13.01,80.99,23.13,82.58,55.97,12.45,15.0,9.33,15.0,126.5,127.5
beam-walk,0.27,0.27,0.27,0.82,1.0,47.08,1336.87,160.18,1.39,21.18,56.27,241.17,79.61,56.6,18.99,18.67,18.67,18.67,453.22,1488.73
blocksworld-ipc08,0.33,0.37,0.4,0.33,1.0,9.46,1031.14,343.36,2.26,1.12,69.54,285.5,369.89,88.17,27.0,11.2,11.64,12.17,12.0,24.4
blocksworld-new,0.2,0.2,0.2,0.15,1.0,1885.13,594.82,152.74,5.11,17.45,105.27,273.94,209.71,154.84,264.74,10.25,10.12,10.12,8.0,54.22
chain-of-rooms,0.1,0.1,0.1,0.2,1.0,182.3,2283.79,219.46,60.14,0.85,93.29,568.15,147.87,76.75,11.42,28.0,28.0,28.0,42.0,163.0
doors,1.0,0.87,1.0,1.0,0.8,1668.95,1666.56,293.27,1304.16,1.43,107.86,358.77,138.88,359.96,39.05,19.0,17.0,19.0,17473.73,22.0
earth_observation,0.2,0.15,0.25,0.25,1.0,2862.18,571.36,1178.06,361.16,0.61,70.66,49.72,144.49,66.14,10.47,16.38,11.5,19.2,30.6,148.45
elevators,0.47,0.47,0.53,0.47,1.0,68.53,107.16,1614.44,5.48,0.4,61.59,51.66,85.65,69.3,10.27,15.86,15.86,18.38,19.71,46.53
faults-ipc08,0.69,0.51,0.82,0.85,1.0,860.84,334.28,2147.57,10.67,0.31,65.81,79.09,101.73,564.63,10.44,13.92,11.25,13.87,180.51,15.18
first-responders-ipc08,0.44,0.46,0.52,0.3,0.75,872.98,606.29,477.87,53.99,0.77,70.61,145.88,102.16,510.72,12.33,9.98,10.24,11.31,9.03,18.08
islands,1.0,0.97,0.93,0.83,0.5,9.93,145.51,82.39,33.51,52.37,106.98,451.6,484.18,567.54,176.77,8.0,7.86,7.71,6.36,6.87
miner,1.0,1.0,1.0,0.9,0.24,274.15,441.66,337.15,66.61,264.71,777.57,331.33,419.12,825.06,1063.57,20.61,20.61,20.61,22.3,20.42
spiky-tireworld,0.91,0.91,1.0,0.91,0.18,3425.03,4502.76,1296.31,14.9,2519.6,241.92,1146.24,407.65,567.1,234.91,23.0,23.0,23.36,25.0,23.0
tireworld,0.6,0.8,0.8,0.8,0.8,1.16,4.91,1.94,0.64,0.3,51.94,23.03,22.87,35.7,10.81,6.78,5.83,5.83,6.92,10.08
tireworld-truck,1.0,0.99,1.0,0.78,0.32,116.32,1019.44,176.0,355.53,793.14,72.16,213.47,74.91,805.73,115.09,15.26,15.15,15.26,21.72,23.54
triangle-tireworld,0.08,0.08,0.12,1.0,1.0,332.14,1456.86,1407.95,12.52,69.54,65.98,343.98,170.16,183.77,238.09,16.0,16.0,24.0,244.0,245.0
zenotravel,0.27,0.33,0.33,0.33,1.0,940.04,406.65,170.96,16.79,3.75,179.51,397.92,466.84,368.12,66.44,15.5,13.0,13.0,15.2,54.6
